Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
hello12,Success,3,0,2018-10-04 14:01:07 -0600,2018-10-04 14:01:47 -0600,0:00:01
Untitled1,Success,3,0,2018-10-03 13:53:31 -0600,2018-10-03 15:55:51 -0600,0:00:00
NewFolder/Untitled1,Success,1,0,2018-10-04 11:28:16 -0600,2018-10-04 11:28:16 -0600,0:00:01
NewFolder/Untitled,Success,1,0,2018-10-04 11:28:27 -0600,2018-10-04 11:28:27 -0600,0:00:01
NewFolder/Untitled3,Success,1,0,2018-10-04 11:53:08 -0600,2018-10-04 11:53:08 -0600,0:00:01
